locality,day,date,treat,sleeper,hut,week,vrex_ufl,vrex_bfl,vrex_grl,vrex_bfl_grl,vrex_ufd,vrex_bfd,vrex_grd,vrex_bfd_grd,room_ufl,room_bfl,room_grl,room_bfl_grl,room_ufd,room_bfd,room_grd,room_bfd_grd,net_ufl,net_bfl,net_grl,locality2,day2,date2,treat2,sleeper2,hut2,net_bfl_grl,net_ufd,net_bfd,net_grd,net_bfd_grd,unf_live,unf_dead,bf_live,bf_dead,gr_live,gr_dead,bf_gr_live,bf_gr_dead,tot_unf,tot_bf,tot_gr,tot_bf_gr,tot_live,tot_dead,tot_exop,total
Tengrela,1,08.09.2014,Control,TEN-S1,TEN-H1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tengrela,1,08.09.2014,Control,TEN-S1,TEN-H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tengrela,2,09.09.2014,Control,TEN-S6,TEN-H1,1,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Tengrela,2,09.09.2014,Control,TEN-S6,TEN-H1,0,0,0,0,0,2,0,1,0,1,0,2,0,2,1,1,2,4,0,3,4
Tengrela,3,10.09.2014,Control,TEN-S5,TEN-H1,1,0,1,0,1,0,0,0,0,3,2,0,2,0,0,0,0,0,2,0,Tengrela,3,10.09.2014,Control,TEN-S5,TEN-H1,2,0,0,0,0,3,0,5,0,0,0,5,0,3,5,0,5,8,0,1,8
Tengrela,4,11.09.2014,Control,TEN-S4,TEN-H1,1,1,0,0,0,0,0,0,0,19,7,0,7,2,0,0,0,0,2,0,Tengrela,4,11.09.2014,Control,TEN-S4,TEN-H1,2,1,0,0,0,20,3,9,0,0,0,9,0,23,9,0,9,29,3,1,32
Tengrela,5,21.10.2014,Control,TEN-S3,TEN-H1,1,2,1,0,1,1,0,0,0,3,3,0,3,0,0,1,1,0,6,0,Tengrela,5,21.10.2014,Control,TEN-S3,TEN-H1,6,0,0,0,0,5,1,10,0,0,1,10,1,6,10,1,11,15,2,4,17
Tengrela,6,13.09.2014,Control,TEN-S2,TEN-H1,1,4,6,6,12,0,0,0,0,8,2,1,3,0,0,0,0,0,0,0,Tengrela,6,13.09.2014,Control,TEN-S2,TEN-H1,0,0,0,0,0,12,0,8,0,7,0,15,0,12,8,7,15,27,0,16,27
Tengrela,7,15.09.2014,Control,TEN-S2,TEN-H2,2,3,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,0,0,0,Tengrela,7,15.09.2014,Control,TEN-S2,TEN-H2,0,0,0,0,0,8,0,3,0,0,0,3,0,8,3,0,3,11,0,3,11
Tengrela,8,16.09.2014,Control,TEN-S1,TEN-H2,2,8,0,0,0,0,0,0,0,26,4,0,4,0,0,0,0,0,0,0,Tengrela,8,16.09.2014,Control,TEN-S1,TEN-H2,0,0,0,0,0,34,0,4,0,0,0,4,0,34,4,0,4,38,0,8,38
Tengrela,9,17.09.2014,Control,TEN-S6,TEN-H2,2,1,3,0,3,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,Tengrela,9,17.09.2014,Control,TEN-S6,TEN-H2,0,0,0,0,0,2,4,3,1,0,0,3,1,6,4,0,4,5,5,8,10
Tengrela,10,18.09.2014,Control,TEN-S5,TEN-H2,2,1,0,0,0,3,0,0,0,1,3,0,3,0,0,0,0,1,5,0,Tengrela,10,18.09.2014,Control,TEN-S5,TEN-H2,5,1,0,0,0,3,4,8,0,0,0,8,0,7,8,0,8,11,4,4,15
Tengrela,11,19.09.2014,Control,TEN-S4,TEN-H2,2,3,1,0,1,1,0,0,0,7,1,0,1,1,1,0,1,1,1,0,Tengrela,11,19.09.2014,Control,TEN-S4,TEN-H2,1,0,0,0,0,11,2,3,1,0,0,3,1,13,4,0,4,14,3,5,17
Tengrela,12,20.09.2014,Control,TEN-S3,TEN-H2,2,0,6,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Tengrela,12,20.09.2014,Control,TEN-S3,TEN-H2,2,0,0,0,0,0,1,8,0,1,0,9,0,1,8,1,9,9,1,8,10
Tengrela,13,22.09.2014,Control,TEN-S4,TEN-H4,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Tengrela,13,22.09.2014,Control,TEN-S4,TEN-H4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1
Tengrela,14,22.10.2014,Control,TEN-S3,TEN-H4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,Tengrela,14,22.10.2014,Control,TEN-S3,TEN-H4,1,0,0,0,0,3,0,1,0,0,0,1,0,3,1,0,1,4,0,0,4
Tengrela,15,24.09.2014,Control,TEN-S2,TEN-H4,3,1,0,0,0,0,0,0,0,2,3,0,3,1,0,0,0,0,1,0,Tengrela,15,24.09.2014,Control,TEN-S2,TEN-H4,1,2,0,0,0,3,3,4,0,0,0,4,0,6,4,0,4,7,3,1,10
Tengrela,16,25.09.2014,Control,TEN-S1,TEN-H4,3,6,0,0,0,0,0,0,0,7,3,0,3,1,0,0,0,0,0,0,Tengrela,16,25.09.2014,Control,TEN-S1,TEN-H4,0,0,0,0,0,13,1,3,0,0,0,3,0,14,3,0,3,16,1,6,17
Tengrela,17,26.09.2014,Control,TEN-S6,TEN-H4,3,1,0,0,0,1,0,0,0,9,2,2,4,0,0,0,0,0,0,0,Tengrela,17,26.09.2014,Control,TEN-S6,TEN-H4,0,0,0,0,0,10,1,2,0,2,0,4,0,11,2,2,4,14,1,2,15
Tengrela,18,27.09.2014,Control,TEN-S5,TEN-H4,3,0,0,0,0,1,0,0,0,1,4,0,4,0,0,0,0,0,0,0,Tengrela,18,27.09.2014,Control,TEN-S5,TEN-H4,0,0,0,0,0,1,1,4,0,0,0,4,0,2,4,0,4,5,1,1,6
Tengrela,19,30.09.2014,Control,TEN-S5,TEN-H5,4,3,0,0,0,0,0,0,0,2,1,5,6,0,0,0,0,0,0,0,Tengrela,19,30.09.2014,Control,TEN-S5,TEN-H5,0,0,0,0,0,5,0,1,0,5,0,6,0,5,1,5,6,11,0,3,11
Tengrela,20,01.10.2014,Control,TEN-S4,TEN-H5,4,1,2,0,2,0,0,0,0,11,7,0,7,1,0,0,0,0,0,0,Tengrela,20,01.10.2014,Control,TEN-S4,TEN-H5,0,0,0,0,0,12,1,9,0,0,0,9,0,13,9,0,9,21,1,3,22
Tengrela,21,02.10.2014,Control,TEN-S3,TEN-H5,4,7,2,0,2,0,0,0,0,3,1,0,1,0,1,0,1,0,2,0,Tengrela,21,02.10.2014,Control,TEN-S3,TEN-H5,2,0,0,0,0,10,0,5,1,0,0,5,1,10,6,0,6,15,1,9,16
